,date,score,contents,
?곸뼱,Feb-20,2,"Very strange place. To start, I have to say that the cable car ride and the flower gardens were great. Amazing views on the rides up and down, but not sure if the flower gardens are just a temporary thing... Feb 2020. The Golden bridge is great to see, the coolest design I?셶e ever seen but is just built for tourists, is smaller than expected and doesn?셳 actually cross an area that needs a bridge... The French ?쁳own??at the top is very random... a few copies of European buildings, hotels and overpriced restaurants. A hot dog on a street stand is 100,000VND and meals in the restaurants looked to be from 200,000 upwards. There are 3 floors of arcade games, half of which do not work. One of the two small rollercoasters was closed for repair and the other one was almost impossible to find. There are maps but no signs anywhere! They don?셳 make it easy to get around, I can only imagine it is hell in high season. One of the cable cars we also went to was closed and only opened at 11.30 (the resort is open from 7am so do not understand this at all) The 4D experience was fun. Some things in the arcades you do have to pay extra for. Overall, the experience was a let down and I would definitely say overpriced. 650,000VND PP. if you do go, take a jacket, it?셲 nippy up there!",
?곸뼱,Feb-20,2,"Underwhelming The cable car ride was the best part. The Golden Bridge is not as amazing as some pictures make it seem and the park is nothing special. When in Rome, I guess, but it's not terrible if you forego this place",
?곸뼱,Feb-20,2,"Should have done our research on what this was before we went We were intrigued about this place due to the photos of the golden bridge, so we thought it would be a cool thing to go see. In actuality, it's a massive, fake, resort/ theme park far up in the mountains over Danang. the only somewhat impressive part of it was the cable car ride going up there. But then many of the other cable cars (there are 5 or 6) were closed for maintenance in the middle of the day, the weather was terrible, and the bridge thing was severely overrated. My friend and I thought this place was the biggest waste of time ever. Would suggest you do your research about what this place is (a fake re-created town with some rides high in the mountains) and what it isn't. would rather spend more time at the beach or time in the interesting, unique Vietnamse towns then visiting this fake monument to crass consumerism.",
?곸뼱,Feb-20,1,"Bad experience Nothing special about this place. A fake looking French village where many of the restaurants were closed or renovated. Had to wait to come down because of maintenance in the middle of the day? Some of the rollercoasters were closed, but no price reduction on the tickets. The weather was foggy when we went so could see anything which also influence my review.",
?곸뼱,Feb-20,1,"Not what I expected at all Firstly, if you don't like crowds then do not bother, it was absolutely packed with mainly Asian tourists. The whole layout of the place is bizarre. You reach the top and the signage is poor. The ""French"" fake buildings are plastic looking and poor quality. There are statues of ""Pikachu"" type of things everywhere, and I mean everywhere, outside restaurants, in flower beds, the Koreans / Japanese absolutely love them, photographs galore. Why would you have these in an imitation French village is beyond me. There is a London taxi cab at the top, along with a Mini, Not bad considering its based on a French village originating in the early 19th century. That taxi has aged well. Honestly, I kid you not, it is bizarre. There are stalls selling the same old rubbish everywhere. The restaurant reminded me of being in a school hall, it was a free for all regarding getting your food, most people do not believe in standing in line. We lasted 1 hour and came back down in the cable car. It is one big fake playground, don't waste your time and money.",
?곸뼱,Feb-20,1,"Horrible Too crowded, everything is fake, the only good thing To visit is the golden bridge. Even the food isnt good",
?곸뼱,Feb-20,1,"Tourist from Vanada Well..At first glance, it looked pretty good. We stayed in the hotel and it was expensive but the room was ok. Here?셲 where it goes bad. The food was awful. We got VIP dinner passes. Waste of money! Suppose to be free beer, wine and spirits until 10. The told us at 8:30 the place was closing,. We arrived for dinner at 7:30 and the food was just about all gone. Very disappointed with the service and the food. After all, they have you trapped up a god damn mountain and where can you go? Expensive and way over rated. I would never go here!!",
?곸뼱,Feb-20,2,"Only reason to come is the photos Sadly, quite a let down. The Golden Hand Bridge and Cable car ride make it justifiable to spend the 750,000d per person but the whole trip certainly Isn?셳 worth it. There is a lot of construction that takes away from the beautiful Mountain View, and the large amount of rude tourists don?셳 help either. The arcade was free but lackluster, and the lunch options are abysmal. We chose the Beer Hall (255,000d for a buffet) but we chose wrong. The only edible things were the fruit, juice, and a handful of the small desserts. Overall a waste of time and money if it weren?셳 for the pictures.",
?곸뼱,Dec-19,2,Only worth it for the photos.. Not worth the trip unless you REALLY want pictures on the bridge. The attractions weren't as amazing as it seemed there was honestly nothing to do other than take photos. If you take a tour you get to play all the games in the arcade and you get lunch but both were mediocre at best. You're probably better off saving your money and spending the day at the beach!,
?곸뼱,Jan-20,1,"Kitschy I believe that most reviews I red before going there are written by people who never visited the place. There is nothing left from the time, when French people build their resort there. Everything is newly constructed after 2000 and the quality is so pure, that you can already notice it. The disrespect of the company who manages the resort to the surrounding nature is horrible, garbage is thrown down to the bush. Hiking? No way, guards will let you slip away from amusement park or restaurants. It is expensive and wedding pictures are taken there to demonstrate the social situation of Vietnamese people. I guess it works for Korean or Chinese people who can tell the difference between real medieval french city and this amusement park. They can taste the feel of Europe for $100 trip to the hill. For someone from Europe this is just a huge fake. The only positive thing is the outlook, however you must be lucky to get there on a sunny day.",
?곸뼱,Jan-20,2,Half of it closed. Signage very poor. It was difficult to navigate around park. Half of it was closed. Did not see signage for free shuttle when we left. This resulted in 15 minute walk to car.,
?곸뼱,Jan-20,1,"Awful experience ! It?셲 cold the sunworld but it?셲 cloudy and cold most of the time, Especially in january. Our guide was very nice. If you want just to see the golden bridge, don?셳 take the second t챕l챕ph챕rique. It will bring you to an horrible cheap and clouded Disneyland for Chinese people. Hell on earth.",
?곸뼱,Jan-20,2,"Meh The view from the cable car was beautiful, but nothing else was worth the price. Overcrowded tourist trap.",
?곸뼱,Dec-19,1,"Complete rip off We were there on a foggy day. At the ticket booth they warned us the weather was ""bad up there"" and asked if we still wanted to go. We asked if all the attractions were open and i specifically asked about the alpine coaster, to which they replied ""yes"". They give you a map and that is not accurate regarding what is already built and what is not (perhaps it will be accurate in a near future...). When we started going up we noticed right away some cable car lines were not working ""due to bad weather"". Also, when we finally got up there we noticed none of the coasters were open - we found out later that they are closed during all winter. The french village replica is just weird - nothing to see or do but overpriced cafes and what seemed to be empty hotels. The indoor attractions are only fun if you have never been at any fun fair at all and some of the games have a fee.  Despite the fog, the cable car and the golden bridge are amazing.  I would have saved my money if i had been correctly informed in the ticket booth.",
?곸뼱,Dec-19,1,"Not safe, be very careful Our daily tour to Ba Na Hills was completed with nightmares in December 2019. My wallet was stolen from my purse in the first half hour after I entered. It was a nightmare to find an English-speaking official and explain our problem. We completed the forms, about 1.5 hours later we were directed to the head office. An official there said that they had identified the thieves and found many wallets and phones when they searched for their bags, and another official said they had found the wallet discarded. But somehow they locked me in a room and held me for about 4 hours and did not return my wallet. No explanation was given as to why I was waiting. Finally, he made a ridiculous statement that we should go to another center. When we told them to call the Turkish consulate and tell them about their problems, they immediately brought the wallet. As I understand that the wallets were found before the thieves were emptied, but for some reason the authorities took money and credit cards and made a list on the base of the currency. When handing over the wallet, they handed over the TL, but more than 2,000,000 Vietnamese VND and my credit card didn't given. They won't even ask me sign the documents that they?셶e submitted my wallet. Of course I took my wallet and left without questioning. Because I was not feel safe where the authorities were inconsistent with an uncertain authorization",
?곸뼱,Jan-20,2,"Mediocre Amusement Park We fell for it, and we fell hard. This place is not an old French village as shown in photos or described online. Don?셳 be fooled! This is a mediocre amusement park. The main event is an arcade (luckily the games are free, albeit slightly run down) and a ?쐒ollercoaster??where people are allowed to use a hand break. I actually saw people stop completely on the rails and use their foot to push themselves along! So dangerous!  If you do go, head their early and avoid the crowds of people taking selfies next to literally everything and anything. We were disappointed but made the most of it in the arcade...",
?곸뼱,Jan-20,2,"Waste of time and money! Queues, queues & more queues. I have rated a 2 because the bridge was ok, & the view from the cable car was lovely. After that the whole day was shocking. Far too many people, completely disorganised, queues everywhere for EVERYTHING but because there was no organisation, people were just walking to the front of the queue & causing real problems. The map is rubbish, there are no staff around the park to ask for directions or help. Absolutely not worth the 750,000VND we paid in. In all honesty, the fog up the mountain did put a downer on the day but that couldn't be avoided so also check the weather before you go. It's probably really good if you have children with you, but I wouldn't like to try & entertain a child in over 1 hour queues for everything, including the cable cars to get from one place to another.",
?곸뼱,Jan-20,1,"Artificial, porcelain looking ?쏿ncient French village?? Biggest tourist trap ever I blame ourselves for not doing the research, but it is marketed as a rustic French village. Instead you receive a below average theme park surrounded by newly built generic French structures. The buildings are made to look aged, but instead they all look like they are made out of porcelain, like some areas of Disney. Could go on slating the place, but will end it with this- Text book tourist trap, don?셳 do it.",
?곸뼱,Jan-20,2,"Don?셳 waste your money. Had been quite looking forward to this for the views etc, but was disappointed. The whole place felt very plastic and cheap, whilst being ridiculously expensive. The best bit was the actual cable car to the top and how clean the place was.",
?곸뼱,Jan-20,1,"Disappointing rip off Most of the attractions are either broken, faulty or closed. The cable car and bridge are impressive but really not worth the price tag. Many of the attractions inside cost extra, all in all a disappointing rip off",
?곸뼱,Jan-20,2,Ok The cable car and The Golden Bridge are good but the rest is pretty average. Should've got there earlier or later to avoid the crowds e.g.. at 7.30am or after 2pm. The weather this time of year meant the visibility was poor even though the forecast suggested otherwise (out of our control so not really a problem). You are not missing much if you don't go.,
?곸뼱,Dec-19,1,"OMG How/why did I end up here? The gondola up and Golden Bridge was good. But the rest...where should I start? Too crowded and I did not go to Vietnam to visit a themepark, and the last thing I wanted to see was miniature copies of European cities.",
?곸뼱,Jan-20,1,"Highly underwhelming Overall:  I should of done my research, but I didn?셳. I should of not purchased a day tour ticket and skipped this. Vietnam has so many more interesting things to do, see, and eat. This was a very underwhelming experience.  If you want a picture for IG, hire a driver, they?셱e cheap. Get your shots and head out. There?셲 no need to spend a whole day here.  Park: Overly crowded at 0930am. If you?셱e planning a trip here instead of hiring a tour company, check the weather and go on a clear day. Food inside the restaurant is bland compared to other food you can eat outside of the park.  I will not be recommending this for things to do and see while in Da Nang.",
?곸뼱,Jan-20,2,"Day trip to Bana Hills from Hoi An The best time to visit is 9am to 5pm in Winter. The temperature is 10-15deg lower than the base and it it often rainy, mistry and chilly. Carry a pauncho and warm clothes. Unfortunately we were dissapointed as the visibility was very poor and thus could not enjoy the views from the cable car and golden bridge. Its over crowded and chaotic and directions could improve. We struggled to get to Golden bridge and the wine cellar and garden. The alpine coaster which we were looking forward too was shut down due to bad weather. Checking the weather forecast before deciding to visit is highly reccommended. Difficult for aged people to navigate the steep turns and steps. There were escalators at most points which alleviated the burden to some extent.",
?곸뼱,Jan-20,2,Avoid during Christmas/new year's Went to Ba Na hills today which took 45 minutes from Danang. Don't bother going during the new year and Christmas period as it is packed with tourists and the weather makes it terrible for visiting. Entire Park was filled with smog and raining. It was difficult to see what is in front of us or admire the attractions. It was raining non stop today and the entire Park was extremely wet even indoors and within shops and restaurants. It made it very very dangerous with lots of tourists packed together like sardines getting herded to each part of the park to use the cable cars. I was worried that there would be an accident with the amount of people as well as many young children and the elderly. The park itself is not equipped for this weather and the number of tourists that visit. The only highlight is the buffets available which are very affordable and of great quality. I would advise families to perhaps visit in the summer months that way you can enjoy the attractions.,
?곸뼱,Jan-20,2,"Nice place but freakishly expensive Nice view and cool place, but they are building too much new things. 750000 dong to go by cable car to the top and it looks more like an Asian Disney Land. Hard to say what's new and old, that kind of ruined the experience for me but it all depends what you expect. The view is great though and it's a very different place comparing to Vietnamese towns and villages.",
?곸뼱,Dec-19,1,"Grotesque: to be Avoided We stopped to see it on our way to Hue and it was truly awful. Once we got through the long lines, the escalators, the hallways, the elevators and the cable cars we emerged in a driving pea-soup fog, wind and cold rain that obscured everything. We were herded in a mob pushing across the Golden Bridge and couldn't see it. It could have become dangerous if someone had panicked. Christmas carols blasted constantly from ubiquitous loudspeakers. Personnel were wearing reindeer antlers. We found out later that we had actually passed through an ersatz French Village, complete with Carcassonne-style walls, a gothic cathedral, and other ridiculously faked French architecture -- although at the time we couldn't see any of it because of the rain and fog. Horribly commercialized and not worth the time or the expense.",
?곸뼱,Dec-19,1,"DISASTER, extremely disappointing: A French/Australian family perspective We just can't understand why anyone would enjoy this park, let along pay the expensive tickets, food and taxi ride to get there. If you only read this, stay away and save your money.  But if you're interested in understanding our perspective from a French/Australian family perspective, stay tuned:  1. Accessibility and organisation  Disaster, it's a mess, it's over crowded, you arrive with a tsunami of tourists pushing around to get through. We came with a pram and had to get a wheelchair for my mum, bad news: some ramps and elevators but very few and so many stairs it's definitely NOT accessible. Don't bother with small children either.  2. Cable car and bridge  Ok so this is the good part, it's actually a pleasant 20 min ride over the jungle, to arrive at the famous golden bridge with the hands. The bridge in itself is pretty nice but again so crowded. It was foggy when we got up there, understand this is common so couldn't see much but we could imagine it would have really nice views on a clear day, so that's a tick.  3. The ""Theme Park""  This is where things start to completely fall apart. It was so crowded. There is nothing there. You arrive in the indoor ""theme park"" and I put it in quotation mark because it's really crammed space on 3 levels with very few rides with little to no interest. Conditions were pretty bad: The Jurassic walk to show dinosaurs to our kids: shame most of the displays were broken. And to top it all, after such a disheartening day, we tried to finish with the roller coaster, and guess what: broken down.  4. The Village  This village has nothing genuine, it's a completely fake village attempting to replicate some of the clich챕s from France and Europe in general. It's pretty well made I guess but there is little to no interest in seeing this. Again it was foggy up there so we couldn't see further than 50meters, but we actually thought this made the place look better as we thought on a clear day the fakeness would have been more exacerbated. It is takes about 15 min to walk around the village, and you will find hotels, and restaurants. That's it. No animations, nothing to do or see really.  5. The food  Talking about restaurants. I cannot believe Accord Hotels actually runs this place under their Mercure brand, it's a total disgrace to the brand which I know to be reasonably good in other parts of the world. Not in Ba Na Hills. The entire complex is run by Mercure, and you would have thought they would have put their ""French"" stamp on the food by offering quality and diversified gastronomic experiences, well you couldn't be more wrong. Basically all the restaurants offer the same looooww quality Asian buffet food sparkled with some really, really bad European attempts here and there. I guess the best thing you can do is the Lotteria fast food, at least you know what you're in for.  Conclusion  Ba Na Hills seem to be appealing to some crowds who want to get an experience of European / French architecture without actually going there. We understand and respect that. But as Europeans ourselves, there was really no value whatsover. I tri d to think about how they could fix it for the European market but the list would be very, very long.",
?곸뼱,Dec-19,1,Save your money Total tourist trap. So many people you can?셳 get a good picture. There is nothing here that resembles Vietnam - there?셲 a fake French Village and a 30-second little roller coaster that you?셪l wait an hour on line to ride.,
?곸뼱,Dec-19,1,"Very hard work Needs a limit on people. It's like a fake Disneyland with twice the people and no rides. You have two choices aimlessly follow the hoards of people like zombies or sit, eat and get drunk at extremely inflated prices. I would recommend you arrive after 1pm when the crowds start to ease.",
?곸뼱,Dec-19,2,"Hard to understand what people see in this place As a Westerner travelling in Asia (family of 4 with young kids) we decided to visit Ba Na Hills as the reviews were very good. Reflecting back on the trip yesterday I'm still struggling to understand what the fuss is about.  If you've been on a cable car before then you know the experience - this is just another cable car. It passes over dense jungle.  The bridge. This has to be the most over-hyped tourist traps you can find. It has no historical significance. It was built last year and has a plastic feeling ""gold"" railing with two hands that have had moss painted on, trying to make it look old. It takes you 20 minutes to walk the 100 meter bridge because all the tourists are trying to take selfies. Even if it's sunny at the base of the hills at the top it could end up being foggy so not much to see in terms of view. People watching might be the only attraction here. As far as bridges go I have to hand it to the Ba Na Hills marketing team.... they build something that looks smashing in photos and brings in the tour buses by the dozens but in real life it's pretty underwhelming.  By the way if you are really keen to go you might want to bring a jacket as you lose about 8-9 degrees due to elevation change.  Bottom line - if you enjoy being in a cattle heard of tourists at a jankey version of Asia Disneyland with frankly awful food, then this is the place for you. If you came to Asia to see Asia then this is most certainly the wrong place to go.",
?곸뼱,Dec-19,1,Faux Disneyland If you are local and never have a chance to travel abroad then this is a place for . As for the tourist especially those from Western countries avoiding this place like plague as this is the worse copy of a French Village anywhere in the world where they are selling Eastern European food completing with Eastern European entertainers . If this is not enough to make to vomit then you will trampled by the hoard of tourist from every corner of the world . Avoid this place if you want to experience authentic Vietnamese experience spend your money somewhere else like the Imperial city of Hue,
?곸뼱,Dec-19,2,"Ba na hills Faked up European artitecture, ride 1hr queues. Golden bridge only thing good, entrance is 750 million dong,rest is just restaurants which are expensive and just like a theme park, but only one ride the rest is rubbish. Wax works have pay extra. Not worth it.",
?곸뼱,Nov-19,1,Fake The place was first expensive and not that interesting. There is a fake french village and unteresting attraction. you can pass your way !,
?곸뼱,Dec-19,2,Don?셳 bother if it?셲 raining If you are looking for a cultural experience this is not for you. It?셲 more like a theme park with long waiting lines. Extremely busy and we were told it was the low season with less people. It was raining and foggy so no view but I can see how impressive the views could be. Some beautiful gardens.,
?곸뼱,Dec-19,1,"Waste of money!!! Why in the world to make a French village???? Why it could not be something more authentic??? We came from Europe to discover a cheap copy of France??? Anyway, first of all the place it?셲 jammed packed!!! It?셲 absolutely insane!!! You should understand what?셲 going on by the size of the parking. Extremely expensive to get on top. If you think you can get some pictures on golden bridge (without another 4-5 people you don?셳 know) FORGET about it. A big company called Sunworld invest a lot of money to transform stunning scenery of Ba Na Hills in a Disney Wannabe. Save your time and money. P.S. To understand the cues at everything, have a look at my pics. And we went off season........:)))))",
?곸뼱,Nov-19,2,"?쏤rench Village??and Golden Hand Bridge on a foggy day I went to Ba Na Hills mid November. Nature around surely looks lush but I didn?셳 enjoy my visit at all, maybe also because of the weather, it was extremely humid and incredibly foggy! I am European so I didn?셳 appreciate the ?쐄ake??French Village or the Christmas decorations, songs & dances in November. Far too touristic! If you are looking for a Westerner kind Amusing Park then you found your place! Golden Hands Bridge could have been the perk of the day, if only I could see it! It was impossible to see beyond nose due to the heavy fog! All in all, maybe I?셶e been unlucky and on a sunny day the place is amazing but I would surely not recommend a visit if you have only limited time in Da Nang.",
?곸뼱,Dec-19,2,"Don?셳 expect authenticity Although the cable car ride was nice and the gardens pretty, this was an extremely crowded overly contrived experience. Our group of European tourists made the decision to head back early to enjoy the real Da Nang and not this fake village.",
?곸뼱,Dec-19,1,Awful Don?셳 bother. Just don?셳. It?셲 a cross between Disney land and universal studios- and there aren?셳 even any rides. Complete tourist trap. Spend your money on more thing authentic in Vietnam.,
?곸뼱,Nov-19,1,"Waste of money, totally unsafe as management do not take precautions even in terrible weather conditions I visited Bana Hills on the 29th of November along with my friend. After reaching the hill station, there was no warning or no cautionary announcement that any of the outdoor rides or activities would be enjoyable. As I entered the amusement park, I noticed that there was absolutely no visibility and it was raining continuously. It was terribly cold and there was no point visiting any of the outdoor rides. Anyway of the indoor rides which were worthwhile was to be paid for and separate from the entrance fees. We waited for the clouds to clear and the rain to stop, but it did not.  I am shocked that the management keeps the park open even in such terrible weather conditions. If the weather conditions are detrimental to the health or enjoyment of a person, all rides must be closed and the entry must be barred! And the management should take care of the refunds. But instead, here they kept it open for profiteering at the expense of your customers health and safety! It was so cold, wet all over the place that I ended up getting sick that evening. I had severe cold and fever. I could have ended up in a hospital in the middle of a new country.   I tried contacting them regarding this dreadful experience and no good has come out of it. If I were you, I would give this place a pass as it goes not care about the safe and does not maintain precautions to keep their customers safe!",
?곸뼱,Dec-19,2,"Most random place I ever visited Came here for the bridge, which is packed with people. Not worth the trip - expensive, full of rude chinese tourists and a mix of many different concepts - from French medieval castles to arcade games to Disney princesses - that make it so random. I didn't stay the night, but would definitely not recommend.  View from the cable car is nice and the alpine roller coaster is fun. But go somewhere else for that.",
?곸뼱,Dec-19,2,"Nothing too great really After researching a little more after my trip here, I realised that people were saying that a quarter to a third of the time, Ba Na hills will be covered by fog. But then this means that the beautiful French Village and Golden Bridge wouldn?셳 be as pretty as they?셱e supposed to be.  So for those who still want to visit, I have the following recommendation: Never book your transport or tickets before hand, so that you can check the weather before you are about to head to Ba Na hills, and change plans if necessary when the weather is unfavourable. Even so, there is no guarantee that the weather conditions will not change within the next hour. So go at your own risk!  I have submitted a few photos of how this place looks like during bad weather, just for your consideration.",
?곸뼱,Nov-19,2,"Poor visibility I had to use my imagination as to how beautiful this place was. Bought a postcard. The day we went the weather was extremely poor even though weather quite nice in Hoi An. Raining and windy. If you go take a poncho or get stung with ridiculous price for one. I was lucky our tour guide warned us.  I would suggest not pre purchasing tickets before arriving in Hoi An/Da Nang. See if you can find out what the weather is like up there before booking. It mostly is foggy but we couldn?셳 see much at all and even with ponchos we got soaking wet. None if the outdoor stores could operate making the restaurants very very crowded and a break from the conditions.  Wear sensible shoes as surfaces become slippery and take a jacket, and as mentioned a poncho. Umbrellas dangerous if windy.  We made the most of the day and soldiered on to try and see what we could. Made it to the top and saw Buddha and the temple. Got a picture on the bridge to remind me I have been there. Couldn?셳 see anything from the cable car.  Would also suggest if you?셱e not into amusement parks purchase the cheaper ticket without it included. Great for kids. There is probably one good ride for adults/teenagers. Summer would be the best time to visit for this venue.",
?곸뼱,Nov-19,1,"Don?셳 Waste your Money This entire complex is new construction. Nothing is authentic nor worth all the fuss of driving out there, expensive ticket and hoards of people making the experience just awful. Tour companies sell it to you as if you are going to an area: Ba Na Hill- nope it?셲 Sun World. A theme park, highly commercialized, extremely touristic. I keep seeing that there is always fog so the images they show were taking at god knows what hour because we tried walking the bridge at 9 am, 12 and 2 and it was all fog. Gardens, Pagodas and restaurants are packed with boards of people. Save yourself",
?곸뼱,Nov-19,1,Waste of time Don't waste your time or money on this place! It is jam packed full of tourists and the sights aren't that great. I would recommend marble mountain over this. It was rainy and cloudy the day I went so you couldn't see a thing. Hard pass,
?곸뼱,Nov-19,2,"Packed, overpriced, theme park with props Ba Na Hill was actually mainly a theme park instead of a scenic spot. There is barely anything telling visitors what this place is about or how the famous golden bridge was built etc. What you can find here is weird copy of some European architectures and millions of tourists squeezing through each other for a ""Perfect"" selfie. The Fantasy Park was an indoor amusement park, good activity for a rainy day like ours. This is the place to skip if you will visit it on a rainy day because you probably cannot get a good view of what this place supposed to be about, the view from the cable car and the Golden Bridge.  The admission ticket was 728000 VND, which is very expensive compare to other spends in Da Nang. Most of the facilities here are souvenir stores, restaurants serving poor quality food as most theme park do. Ba Na Hill itself was beautiful and deserve to be shaped as a scenic location, not a location where loads of fake props standing everywhere and tourists pushing each other to take photo with them.",
?곸뼱,Nov-19,2,Ba Na hills Golden bridge and cable car ride was ok . Almost always foggy with poor views (this was from the guide ) . The town in my opinion was a waste of time in my opinion and others in the tour . Would not recommend wasting a day,
?곸뼱,Nov-19,2,"Don?셳 waste your time The main reason we wanted to go up Ba Na Hills was for the golden bridge and the views. We went up on a clear day, not a cloud in the sky. This is another matter up the mountain - very cloudy and a lot colder than at the bottom of the cable car. The Cable car is cool, beautiful views on the way up. Its a long ride though, takes about 15 minutes to get to the top.  The Golden bridge is ok, not as great or big as you imagine. You can barely walk across it with all of the people trying to get the perfect picture...  The French Village is weird. It?셲 not real and has nothing to do there, other than swerve through all of the tourists taking pictures of themselves.  The Fantasy park is not a theme park. It is a three story arcade.  A few of the food and drink places do not accept card and there is no ATM once you get on the cable car, so be prepared with cash.  Quite an expensive day out, I wouldn?셳 waste your money.",
?곸뼱,Nov-19,1,This sucks.. We wanted to go to the golden hands bridge.. But a ticket there costs 60 euro for 2 persons for the cable ride up the mountain.. Once we are there we came in an amusementpark where the creator of the park was clearly on drugs.. W*f is this here.. ( we where also lucky to have o paying again to enter somthing I did not even want to see in the first place.. So we whent back off the mountain in about 2 h..  2h of my life ruined ?쁻?ㅇ?띯셽截? Don't believe the instagram bloggers and there fake life's.. Be real and tell the people what they get when there up here!,
?곸뼱,Nov-19,2,"Well... It gives you a shock From people in northern Europe. Mostly Chinese/Asian and Russian tourists. This place is all about getting the perfect selfie in a weird European/Chinese tourist ?쁟ity??on top of a mountain. If you go here do it only for the Zipline because it was amazing with amazing views and maybe the golden bridge. The rest is unfortunately just expensive stuff almost like you go to Liseberg in Sweden without any big attractions. 750,000 VND entrance nov 2019.",
